timestamp,snap_idx,node_a,node_b,age_stored,true_age
2026-04-13 17:52:15.331,77,17,39,5,4
2026-04-13 17:52:15.331,77,18,22,1,0
2026-04-13 17:52:15.331,77,18,33,4,3
2026-04-13 17:52:15.331,77,19,32,4,3
2026-04-13 17:52:15.331,77,19,38,1,0
2026-04-13 17:52:15.331,77,20,30,1,0
2026-04-13 17:52:15.331,77,21,28,1,0
2026-04-13 17:52:15.331,77,23,38,1,0
2026-04-13 17:52:15.331,77,24,29,1,0
2026-04-13 17:52:15.331,77,34,36,7,6
2026-04-13 17:52:15.365,78,0,27,1,0
2026-04-13 17:52:15.365,78,0,30,2,1
2026-04-13 17:52:15.365,78,1,34,1,0
2026-04-13 17:52:15.365,78,2,29,2,1
2026-04-13 17:52:15.365,78,3,31,1,0
2026-04-13 17:52:15.365,78,4,6,5,4
2026-04-13 17:52:15.365,78,4,35,1,0
2026-04-13 17:52:15.365,78,5,25,2,1
2026-04-13 17:52:15.365,78,5,37,1,0
2026-04-13 17:52:15.365,78,6,23,1,0
2026-04-13 17:52:15.365,78,7,33,1,0
2026-04-13 17:52:15.365,78,7,37,3,2
2026-04-13 17:52:15.365,78,8,15,1,0
2026-04-13 17:52:15.365,78,9,19,2,1
2026-04-13 17:52:15.365,78,9,32,1,0
2026-04-13 17:52:15.365,78,10,21,1,0
2026-04-13 17:52:15.365,78,11,20,2,1
2026-04-13 17:52:15.365,78,11,26,3,2
2026-04-13 17:52:15.365,78,12,25,23,22
2026-04-13 17:52:15.365,78,12,31,1,0
2026-04-13 17:52:15.365,78,13,22,1,0
2026-04-13 17:52:15.365,78,13,27,2,1
2026-04-13 17:52:15.365,78,14,36,1,0
2026-04-13 17:52:15.365,78,14,39,9,8
2026-04-13 17:52:15.365,78,15,26,1,0
2026-04-13 17:52:15.365,78,16,28,1,0
2026-04-13 17:52:15.365,78,16,35,3,2
2026-04-13 17:52:15.365,78,17,24,2,1
2026-04-13 17:52:15.365,78,17,39,5,4
2026-04-13 17:52:15.365,78,18,22,2,1
2026-04-13 17:52:15.365,78,18,33,1,0
2026-04-13 17:52:15.365,78,19,32,2,1
2026-04-13 17:52:15.365,78,19,38,4,3
2026-04-13 17:52:15.365,78,20,30,1,0
2026-04-13 17:52:15.365,78,21,28,2,1
2026-04-13 17:52:15.365,78,23,38,1,0
2026-04-13 17:52:15.365,78,24,29,1,0
2026-04-13 17:52:15.365,78,34,36,8,7
2026-04-13 17:52:15.408,79,0,27,1,0
2026-04-13 17:52:15.408,79,0,30,1,0
2026-04-13 17:52:15.408,79,1,34,1,0
2026-04-13 17:52:15.408,79,2,29,2,1
2026-04-13 17:52:15.408,79,3,31,1,0
2026-04-13 17:52:15.408,79,4,6,1,0
2026-04-13 17:52:15.408,79,4,35,2,1
2026-04-13 17:52:15.408,79,5,25,4,3
2026-04-13 17:52:15.408,79,5,37,1,0
2026-04-13 17:52:15.408,79,6,23,4,3
2026-04-13 17:52:15.408,79,7,33,1,0
2026-04-13 17:52:15.408,79,7,37,4,3
2026-04-13 17:52:15.408,79,8,15,1,0
2026-04-13 17:52:15.408,79,9,19,6,5
2026-04-13 17:52:15.408,79,9,32,1,0
2026-04-13 17:52:15.408,79,10,21,2,1
2026-04-13 17:52:15.408,79,11,20,2,1
2026-04-13 17:52:15.408,79,11,26,1,0
2026-04-13 17:52:15.408,79,12,25,25,24
2026-04-13 17:52:15.408,79,12,31,1,0
2026-04-13 17:52:15.408,79,13,22,1,0
2026-04-13 17:52:15.408,79,13,27,3,2
2026-04-13 17:52:15.408,79,14,36,1,0
2026-04-13 17:52:15.408,79,14,39,12,11
2026-04-13 17:52:15.408,79,15,26,1,0
2026-04-13 17:52:15.408,79,16,28,3,2
2026-04-13 17:52:15.408,79,16,35,1,0
2026-04-13 17:52:15.408,79,17,24,1,0
2026-04-13 17:52:15.408,79,17,39,7,6
2026-04-13 17:52:15.408,79,18,22,1,0
2026-04-13 17:52:15.408,79,18,33,4,3
2026-04-13 17:52:15.408,79,19,32,4,3
2026-04-13 17:52:15.408,79,19,38,1,0
2026-04-13 17:52:15.408,79,20,30,1,0
2026-04-13 17:52:15.408,79,21,28,1,0
2026-04-13 17:52:15.408,79,23,38,1,0
2026-04-13 17:52:15.408,79,24,29,1,0
2026-04-13 17:52:15.408,79,34,36,9,8
2026-04-13 17:52:15.427,80,0,27,1,0
2026-04-13 17:52:15.427,80,0,30,2,1
2026-04-13 17:52:15.427,80,1,34,1,0
2026-04-13 17:52:15.427,80,2,29,2,1
2026-04-13 17:52:15.427,80,3,31,1,0
2026-04-13 17:52:15.427,80,4,6,5,4
2026-04-13 17:52:15.427,80,4,35,1,0
2026-04-13 17:52:15.427,80,5,25,2,1
2026-04-13 17:52:15.427,80,5,37,1,0
2026-04-13 17:52:15.427,80,6,23,1,0
2026-04-13 17:52:15.427,80,7,33,1,0
2026-04-13 17:52:15.427,80,7,37,3,2
2026-04-13 17:52:15.427,80,8,15,1,0
2026-04-13 17:52:15.427,80,9,19,2,1
2026-04-13 17:52:15.427,80,9,32,1,0
2026-04-13 17:52:15.427,80,10,21,1,0
2026-04-13 17:52:15.427,80,11,20,2,1
2026-04-13 17:52:15.427,80,11,26,3,2
2026-04-13 17:52:15.427,80,12,25,27,26
2026-04-13 17:52:15.427,80,12,31,1,0
2026-04-13 17:52:15.427,80,13,22,1,0
2026-04-13 17:52:15.427,80,13,27,2,1
2026-04-13 17:52:15.427,80,14,36,1,0
2026-04-13 17:52:15.427,80,14,39,13,12
2026-04-13 17:52:15.427,80,15,26,1,0
2026-04-13 17:52:15.427,80,16,28,1,0
2026-04-13 17:52:15.427,80,16,35,3,2
