timestamp,sample_idx,s1,s2,deg_s1,deg_s2,err32,s1x_raw,s1y_raw,node_count,conn,rm,iso,iso_id,ins,ins_id,fpga_ts_cycles,iter_us
2026-04-13 17:53:02.402,34,31,36,2,2,1345,185,-360,40,1,0,0,39,0,39,113722900,546.704
2026-04-13 17:53:02.402,35,20,1,2,2,1842,-208,-454,40,1,0,0,39,0,39,113737661,546.704
2026-04-13 17:53:02.402,36,19,2,2,2,6175,397,-93,40,1,0,0,39,0,39,113752422,546.704
2026-04-13 17:53:02.402,37,30,37,2,2,1450,-939,219,40,1,0,0,39,0,39,113767183,546.704
2026-04-13 17:53:02.402,38,1,36,2,2,1816,-17,-418,40,1,0,0,39,0,39,113781944,546.704
2026-04-13 17:53:02.402,39,8,32,2,2,4706,939,87,40,1,0,0,39,0,39,113796705,546.704
2026-04-13 17:53:02.402,40,1,36,2,2,1898,-16,-430,40,1,0,0,39,0,39,113811466,546.704
2026-04-13 17:53:02.402,41,29,7,2,2,4424,-415,151,40,1,0,0,39,0,39,113826227,546.704
2026-04-13 17:53:02.402,42,6,29,2,2,5631,-242,344,40,1,0,0,39,0,39,113840988,546.704
2026-04-13 17:53:02.402,43,35,28,2,2,1805,-143,916,40,1,0,0,39,0,39,113855749,546.704
2026-04-13 17:53:02.402,44,26,14,2,2,1330,204,396,40,1,0,0,39,0,39,113870510,546.704
2026-04-13 17:53:02.402,45,2,19,2,2,2659,348,-257,40,1,0,0,39,0,39,113885271,546.704
2026-04-13 17:53:02.402,46,26,14,2,2,1376,212,399,40,1,0,0,39,0,39,113900032,546.704
2026-04-13 17:53:02.402,47,22,13,2,2,1858,141,-976,40,1,0,0,39,0,39,113914793,546.704
2026-04-13 17:53:02.402,48,25,20,2,2,4160,-349,-267,40,1,0,0,39,0,39,113929554,546.704
2026-04-13 17:53:02.402,49,13,38,2,2,5512,413,-882,40,1,0,0,39,0,39,113944315,546.704
2026-04-13 17:53:02.417,50,5,18,2,2,1665,-942,-359,40,1,0,0,39,0,39,114071431,4708.000
2026-04-13 17:53:02.417,51,11,26,2,2,2578,-27,435,40,1,0,0,39,0,39,114086192,546.704
2026-04-13 17:53:02.417,52,24,28,2,2,573,357,893,40,1,0,0,39,0,39,114100953,546.704
2026-04-13 17:53:02.417,53,6,11,2,2,5513,-231,338,40,1,0,0,39,0,39,114115714,546.704
2026-04-13 17:53:02.417,54,27,9,2,2,3315,-567,-824,40,1,0,0,39,0,39,114130475,546.704
2026-04-13 17:53:02.418,55,29,7,2,2,4290,-416,139,40,1,0,0,39,0,39,114145236,546.704
2026-04-13 17:53:02.418,56,29,6,2,2,5506,-404,179,40,1,0,0,39,0,39,114159997,546.704
2026-04-13 17:53:02.418,57,17,12,2,2,1280,-556,753,40,1,0,0,39,0,39,114174758,546.704
2026-04-13 17:53:02.418,58,27,0,2,2,3804,-595,-821,40,1,0,0,39,0,39,114189519,546.704
2026-04-13 17:53:02.418,59,10,24,2,2,5558,573,714,40,1,0,0,39,0,39,114204280,546.704
2026-04-13 17:53:02.418,60,9,34,2,2,1261,-323,-951,40,1,0,0,39,0,39,114219041,546.704
2026-04-13 17:53:02.418,61,23,4,2,2,260,856,-462,40,1,0,0,39,0,39,114233802,546.704
2026-04-13 17:53:02.418,62,7,29,2,2,4818,-453,-47,40,1,0,0,39,0,39,114248563,546.704
2026-04-13 17:53:02.418,63,16,8,2,2,2267,803,435,40,1,0,0,39,0,39,114263324,546.704
2026-04-13 17:53:02.418,64,14,33,2,2,2385,319,240,40,1,0,0,39,0,39,114278085,546.704
2026-04-13 17:53:02.418,65,14,26,2,2,2571,319,256,40,1,0,0,39,0,39,114292846,546.704
2026-04-13 17:53:02.418,66,14,26,2,2,2689,307,249,40,1,0,0,39,0,39,114307607,546.704
2026-04-13 17:53:02.418,67,19,33,2,2,6094,412,-70,40,1,0,0,39,0,39,114322368,546.704
2026-04-13 17:53:02.418,68,25,20,2,2,3945,-339,-267,40,1,0,0,39,0,39,114337129,546.704
2026-04-13 17:53:02.418,69,7,29,2,2,5186,-435,-30,40,1,0,0,39,0,39,114351890,546.704
2026-04-13 17:53:02.418,70,17,3,2,2,1384,-566,741,40,1,0,0,39,0,39,114366651,546.704
2026-04-13 17:53:02.418,71,16,10,2,2,2765,798,463,40,1,0,0,39,0,39,114381412,546.704
2026-04-13 17:53:02.418,72,8,16,2,2,4948,921,117,40,1,0,0,39,0,39,114396173,546.704
2026-04-13 17:53:02.418,73,0,18,2,2,644,-740,-629,40,1,0,0,39,0,39,114410934,546.704
2026-04-13 17:53:02.418,74,19,33,2,2,6409,391,-54,40,1,0,0,39,0,39,114425695,546.704
2026-04-13 17:53:02.435,75,26,11,2,2,1489,193,402,40,1,0,0,39,0,39,114440456,546.704
2026-04-13 17:53:02.435,76,23,4,2,2,272,856,-457,40,1,0,0,39,0,39,114455217,546.704
2026-04-13 17:53:02.435,77,3,37,2,2,1790,-772,586,40,1,0,0,39,0,39,114469978,546.704
2026-04-13 17:53:02.435,78,1,20,2,2,1798,-31,-429,40,1,0,0,39,0,39,114484739,546.704
2026-04-13 17:53:02.435,79,29,7,2,2,5069,-412,178,40,1,0,0,39,0,39,114499500,546.704
2026-04-13 17:53:02.435,80,20,25,2,2,1889,-212,-434,40,1,0,0,39,0,39,114514261,546.704
2026-04-13 17:53:02.435,81,33,14,2,2,778,426,142,40,1,0,0,39,0,39,114529022,546.704
2026-04-13 17:53:02.435,82,6,11,2,2,5136,-220,326,40,1,0,0,39,0,39,114543783,546.704
2026-04-13 17:53:02.435,83,28,24,2,2,986,101,971,40,1,0,0,39,0,39,114558544,546.704
2026-04-13 17:53:02.435,84,21,30,2,2,255,-1000,30,40,1,0,0,39,0,39,114573305,546.704
2026-04-13 17:53:02.435,85,12,35,2,2,1535,-336,888,40,1,0,0,39,0,39,114588066,546.704
2026-04-13 17:53:02.435,86,31,2,2,2,1325,184,-343,40,1,0,0,39,0,39,114602827,546.704
2026-04-13 17:53:02.435,87,13,22,2,2,5765,386,-910,40,1,0,0,39,0,39,114617588,546.704
2026-04-13 17:53:02.435,88,34,22,2,2,2034,-103,-964,40,1,0,0,39,0,39,114632349,546.704
2026-04-13 17:53:02.435,89,37,3,2,2,1187,-843,394,40,1,0,0,39,0,39,114647110,546.704
2026-04-13 17:53:02.435,90,38,4,2,2,275,600,-795,40,1,0,0,39,0,39,114661871,546.704
2026-04-13 17:53:02.435,91,13,38,2,2,6360,391,-880,40,1,0,0,39,0,39,114676632,546.704
2026-04-13 17:53:02.435,92,25,7,2,2,3929,-346,-232,40,1,0,0,39,0,39,114691393,546.704
2026-04-13 17:53:02.435,93,28,35,2,2,1107,88,979,40,1,0,0,39,0,39,114706154,546.704
2026-04-13 17:53:02.435,94,9,27,2,2,1314,-335,-941,40,1,0,0,39,0,39,114720915,546.704
2026-04-13 17:53:02.435,95,11,26,2,2,2271,-22,439,40,1,0,0,39,0,39,114735676,546.704
2026-04-13 17:53:02.436,96,6,11,2,2,4950,-217,336,40,1,0,0,39,0,39,114750437,546.704
2026-04-13 17:53:02.436,97,3,17,2,2,2051,-752,594,40,1,0,0,39,0,39,114765198,546.704
2026-04-13 17:53:02.436,98,11,26,2,2,2379,-11,431,40,1,0,0,39,0,39,114779959,546.704
2026-04-13 17:53:02.436,99,36,1,2,2,322,85,-518,40,1,0,0,39,0,39,114794720,546.704
2026-04-13 17:53:02.436,0,8,32,2,2,5270,927,83,40,1,0,0,39,0,39,114921836,4708.000
2026-04-13 17:53:02.452,1,2,31,2,2,2485,328,-272,40,1,0,0,39,0,39,114936597,546.704
2026-04-13 17:53:02.452,2,10,16,2,2,5360,587,685,40,1,0,0,39,0,39,114951358,546.704
2026-04-13 17:53:02.452,3,11,6,2,2,2715,-33,420,40,1,0,0,39,0,39,114966119,546.704
2026-04-13 17:53:02.452,4,37,30,2,2,1275,-850,381,40,1,0,0,39,0,39,114980880,546.704
2026-04-13 17:53:02.452,5,19,2,2,2,6441,418,-72,40,1,0,0,39,0,39,114995641,546.704
2026-04-13 17:53:02.452,6,15,21,2,2,262,-946,-155,40,1,0,0,39,0,39,115010402,546.704
2026-04-13 17:53:02.452,7,25,7,2,2,3913,-367,-232,40,1,0,0,39,0,39,115025163,546.704
2026-04-13 17:53:02.452,8,33,19,2,2,806,433,132,40,1,0,0,39,0,39,115039924,546.704
2026-04-13 17:53:02.452,9,24,10,2,2,603,367,895,40,1,0,0,39,0,39,115054685,546.704
2026-04-13 17:53:02.452,10,10,24,2,2,6480,558,718,40,1,0,0,39,0,39,115069446,546.704
2026-04-13 17:53:02.452,11,4,23,2,2,918,735,-630,40,1,0,0,39,0,39,115084207,546.704
2026-04-13 17:53:02.452,12,0,18,2,2,682,-736,-617,40,1,0,0,39,0,39,115098968,546.704
2026-04-13 17:53:02.452,13,36,1,2,2,330,79,-518,40,1,0,0,39,0,39,115113729,546.704
2026-04-13 17:53:02.452,14,31,2,2,2,1312,194,-349,40,1,0,0,39,0,39,115128490,546.704
2026-04-13 17:53:02.452,15,4,38,2,2,1023,729,-643,40,1,0,0,39,0,39,115143251,546.704
2026-04-13 17:53:02.452,16,25,20,2,2,4147,-372,-255,40,1,0,0,39,0,39,115158012,546.704
2026-04-13 17:53:02.452,17,35,12,2,2,1639,-163,921,40,1,0,0,39,0,39,115172773,546.704
2026-04-13 17:53:02.452,18,5,15,2,2,1587,-951,-341,40,1,0,0,39,0,39,115187534,546.704
2026-04-13 17:53:02.452,19,30,21,2,2,1303,-929,204,40,1,0,0,39,0,39,115202295,546.704
2026-04-13 17:53:02.452,20,2,31,2,2,2446,326,-260,40,1,0,0,39,0,39,115217056,546.704
2026-04-13 17:53:02.452,21,22,34,2,2,1655,121,-981,40,1,0,0,39,0,39,115231817,546.704
2026-04-13 17:53:02.452,22,32,8,2,2,3181,977,-167,40,1,0,0,39,0,39,115246578,546.704
2026-04-13 17:53:02.452,23,12,35,2,2,1647,-316,891,40,1,0,0,39,0,39,115261339,546.704
2026-04-13 17:53:02.452,24,32,23,2,2,3657,973,-194,40,1,0,0,39,0,39,115276100,546.704
2026-04-13 17:53:02.453,25,20,1,2,2,1647,-208,-434,40,1,0,0,39,0,39,115290861,546.704
2026-04-13 17:53:02.453,26,2,19,2,2,2838,349,-251,40,1,0,0,39,0,39,115305622,546.704
2026-04-13 17:53:02.453,27,7,25,2,2,4536,-414,-42,40,1,0,0,39,0,39,115320383,546.704
2026-04-13 17:53:02.453,28,14,26,2,2,2216,296,243,40,1,0,0,39,0,39,115335144,546.704
